playername,year,realERA,adjustedERA,diff
Adam Wainwright,2023,7.40,5.03,2.37
David Peterson,2023,5.24,3.01,2.23
Tony Gonsolin,2023,4.98,2.84,2.14
Domingo German,2023,4.77,2.64,2.13
Grayson Rodriguez,2023,4.35,2.22,2.13
Martin Perez,2023,4.98,2.99,1.99
Graham Ashcraft,2023,4.76,2.79,1.97
Hunter Greene,2023,4.82,2.94,1.88
Chris Sale,2023,4.30,2.42,1.88
Marcus Stroman,2023,4.04,2.19,1.85
Kenta Maeda,2023,4.28,2.44,1.84
Bryce Miller,2023,4.32,2.48,1.84
Julio Urias,2023,4.60,2.77,1.83
Drew Smyly,2023,5.62,3.83,1.79
Tanner Houck,2023,5.01,3.22,1.79
Reid Detmers,2023,4.48,2.78,1.70
Kutter Crawford,2023,4.51,2.82,1.69
J. P. France,2023,3.92,2.26,1.66
Michael Kopech,2023,5.12,3.46,1.66
Andrew Abbott,2023,3.87,2.21,1.66
Colin Rea,2023,4.75,3.10,1.65
Adrian Houser,2023,4.23,2.59,1.64
Jack Flaherty,2023,5.03,3.39,1.64
Paul Blackburn,2023,4.30,2.67,1.63
Michael Lorenzen,2023,4.06,2.49,1.57
Austin Gomber,2023,5.50,3.94,1.56
Andrew Heaney,2023,4.08,2.52,1.56
Lucas Giolito,2023,4.88,3.35,1.53
Mike Clevinger,2023,3.77,2.24,1.53
Tyler Glasnow,2023,3.53,2.00,1.53
Johan Oviedo,2023,4.31,2.80,1.51
Ryne Nelson,2023,5.53,4.02,1.51
Brady Singer,2023,5.52,4.02,1.50
Zack Greinke,2023,5.02,3.55,1.47
Taj Bradley,2023,5.52,4.06,1.46
Michael Wacha,2023,3.22,1.76,1.46
Yu Darvish,2023,4.56,3.12,1.44
Rich Hill,2023,5.57,4.14,1.43
Tylor Megill,2023,4.70,3.29,1.41
Max Scherzer,2023,3.77,2.37,1.40
Seth Lugo,2023,3.57,2.19,1.38
Ken Waldichuk,2023,5.33,3.95,1.38
Pablo Lopez,2023,3.66,2.28,1.38
Tyler Wells,2023,3.98,2.61,1.37
Braxton Garrett,2023,3.62,2.26,1.36
Tyler Anderson,2023,5.52,4.16,1.36
Jordan Lyles,2023,6.28,4.93,1.35
Lance Lynn,2023,5.73,4.40,1.33
Wade Miley,2023,3.14,1.82,1.32
Kyle Freeland,2023,5.03,3.71,1.32
Bobby Miller,2023,3.76,2.44,1.32
Alex Cobb,2023,3.87,2.56,1.31
Mitch Keller,2023,4.21,2.90,1.31
Nathan Eovaldi,2023,3.63,2.32,1.31
Eduardo Rodriguez,2023,3.30,1.99,1.31
Shane McClanahan,2023,3.29,1.99,1.30
Hunter Brown,2023,5.19,3.89,1.30
Dylan Cease,2023,4.58,3.30,1.28
Logan Allen,2023,3.81,2.53,1.28
Patrick Sandoval,2023,4.11,2.86,1.25
Yusei Kikuchi,2023,3.86,2.62,1.24
MacKenzie Gore,2023,4.42,3.19,1.23
Kevin Gausman,2023,3.16,1.94,1.22
Luke Weaver,2023,6.47,5.25,1.22
Shane Bieber,2023,3.80,2.58,1.22
Chris Bassitt,2023,3.60,2.39,1.21
Brayan Bello,2023,4.24,3.03,1.21
Ranger Suarez,2023,4.18,2.97,1.21
Jake Irvin,2023,4.61,3.40,1.21
Joe Ryan,2023,4.51,3.31,1.20
Brandon Williamson,2023,4.46,3.26,1.20
Jesus Luzardo,2023,3.58,2.40,1.18
Trevor Williams,2023,5.55,4.38,1.17
