GAMEID,Date,manager_name,team,win_loss
ATL201803290,03/29/2018,"""Brian Snitker""",ATL,w
DET201803300,03/30/2018,"""Ron Gardenhire""",DET,l
ATL201803310,03/31/2018,"""Brian Snitker""",ATL,w
SDN201904020,04/02/2019,"""Andy Green""",SDN,l
CIN199404030,04/03/1994,"""Davey Johnson""",CIN,l
OAK200204030,04/03/2002,"""Jerry Narron""",TEX,l
TEX201904030,04/03/2019,"""A.J. Hinch""",HOU,l
CIN199404040,04/04/1994,"""Joe Torre""",SLN,l
CIN198204050,04/05/1982,"""John McNamara""",CIN,l
BAL200004050,04/05/2000,"""Charlie Manuel""",CLE,l
HOU200104050,04/05/2001,"""Davey Lopes""",MIL,l
PHI200204050,04/05/2002,"""Jeff Torborg""",FLO,l
WAS201704050,04/05/2017,"""Don Mattingly""",MIA,l
SDN198404060,04/06/1984,"""Jim Frey""",CHN,l
ANA199704060,04/06/1997,"""Mike Hargrove""",CLE,w
NYN199804060,04/06/1998,"""Bobby Valentine""",NYN,l
BAL200004060,04/06/2000,"""Charlie Manuel""",CLE,l
PHI200304060,04/06/2003,"""Larry Bowa""",PHI,l
NYN200604060,04/06/2006,"""Frank Robinson""",WAS,l
CIN200604060,04/06/2006,"""Jim Tracy""",PIT,l
ARI200104070,04/07/2001,"""Bob Brenly""",ARI,l
SFN200604070,04/07/2006,"""Bobby Cox""",ATL,w
CHA200804070,04/07/2008,"""Ozzie Guillen""",CHA,w
WAS201804070,04/07/2018,"""Dave Martinez""",WAS,l
PIT201904070,04/07/2019,"""David Bell""",CIN,l
MIN198804080,04/08/1988,"""Jimy Williams""",TOR,l
CIN199204080,04/08/1992,"""Lou Piniella""",CIN,l
SEA199704080,04/08/1997,"""Lou Piniella""",SEA,w
FLO200204080,04/08/2002,"""Jeff Torborg""",FLO,l
PHI200304080,04/08/2003,"""Bobby Cox""",ATL,l
COL200304080,04/08/2003,"""Clint Hurdle""",COL,l
SDN200504080,04/08/2005,"""Lloyd McClendon""",PIT,w
SFN200704080,04/08/2007,"""Bruce Bochy""",SFN,l
TBA200804080,04/08/2008,"""Joe Maddon""",TBA,l
ARI201204080,04/08/2012,"""Bruce Bochy""",SFN,l
