playername,year,realERA,adjustedERA,diff
Jack Bracken,1901,6.19,3.58,2.61
Jack Katoll,1902,4.23,1.64,2.59
Derek Lowe,2012,5.52,3.11,2.41
Jamie Moyer,2010,4.84,2.45,2.39
Willis Roberts,2001,5.45,3.11,2.34
Glendon Rusch,2003,7.36,5.05,2.31
Ryan Dempster,2003,6.71,4.42,2.29
Adam Conley,2017,6.17,3.90,2.27
Jason Hammel,2018,6.16,3.89,2.27
Jimmy Haynes,1999,5.80,3.60,2.20
Chris Capuano,2013,4.46,2.30,2.16
Michael Wacha,2021,4.53,2.37,2.16
Yovani Gallardo,2007,3.74,1.59,2.15
Tony Gonsolin,2023,4.98,2.84,2.14
Taylor Buchholz,2006,6.08,3.94,2.14
Jeff Locke,2016,5.86,3.74,2.12
Jim Rooker,1979,4.59,2.49,2.10
Tyler Beede,2019,5.03,2.94,2.09
Tim Wakefield,2010,5.71,3.63,2.08
Chuck Finley,2001,5.54,3.47,2.07
Oliver Perez,2005,5.85,3.79,2.06
Brian Anderson,1994,5.22,3.17,2.05
Adam Wainwright,2023,7.40,5.36,2.04
Carl Pavano,1999,5.59,3.55,2.04
Blake Stein,1998,6.36,4.33,2.03
David Nied,1994,4.80,2.77,2.03
Joe Ross,2021,4.02,2.00,2.02
Steve Sparks,2004,6.00,3.99,2.01
Kenny Rogers,2001,6.19,4.18,2.01
Ismael Valdez,2000,5.69,3.69,2.00
Mark Prior,2004,4.02,2.02,2.00
Lloyd Brown,1936,4.58,2.59,1.99
Eduardo Rodriguez,2015,3.85,1.86,1.99
Roy Halladay,1999,3.97,1.99,1.98
Del Lundgren,1927,6.07,4.09,1.98
Jordan Zimmermann,2016,4.93,2.96,1.97
Graham Ashcraft,2023,4.76,2.79,1.97
Ramon Ortiz,2000,5.09,3.12,1.97
Dan Griner,1914,2.54,0.59,1.95
Aaron Laffey,2009,4.53,2.58,1.95
Blake Snell,2019,4.29,2.34,1.95
Oliver Perez,2003,5.47,3.53,1.94
Scott Schoeneweis,2004,5.56,3.62,1.94
Tony Armas,2005,4.97,3.03,1.94
Kris Bubic,2021,4.77,2.84,1.93
Chubby Dean,1940,6.70,4.77,1.93
Jim Bullinger,1996,7.40,5.48,1.92
Hideo Nomo,2005,7.24,5.32,1.92
Adam Morgan,2016,6.16,4.24,1.92
Firpo Marberry,1932,4.42,2.52,1.90
Esmil Rogers,2013,4.89,3.00,1.89
Shawn Chacon,2003,4.60,2.71,1.89
Dick Fowler,1942,4.72,2.83,1.89
Tommy Thomas,1934,5.52,3.63,1.89
Pete Appleton,1937,5.18,3.29,1.89
Kyle Lohse,2006,6.19,4.30,1.89
Jordan Zimmermann,2019,6.91,5.02,1.89
Odrisamer Despaigne,2015,5.44,3.58,1.86
Jhoulys Chacin,2019,6.07,4.22,1.85
Domingo German,2023,4.77,2.92,1.85
Mickey Harris,1948,5.79,3.94,1.85
Ismael Valdez,2003,6.10,4.26,1.84
Derek Lilliquist,1990,5.12,3.28,1.84
Mike Paxton,1979,5.86,4.02,1.84
Kris Benson,2003,4.97,3.13,1.84
Bryce Miller,2023,4.32,2.48,1.84
Heinie Meine,1930,6.04,4.20,1.84
Michael Tejera,2002,4.94,3.11,1.83
Tom Gorzelanny,2008,6.66,4.83,1.83
Vern Law,1950,5.21,3.38,1.83
Mitch Keller,2021,6.17,4.34,1.83
Tarik Skubal,2022,3.52,1.69,1.83
Randy Johnson,2003,4.26,2.44,1.82
Williams Perez,2015,4.61,2.79,1.82
Andy Hawkins,1984,5.25,3.43,1.82
Paul Blackburn,2022,4.28,2.46,1.82
Jake Arrieta,2012,6.13,4.31,1.82
Chad Bettis,2018,5.28,3.47,1.81
Rick Aguilera,1996,5.42,3.61,1.81
Mike Smithson,1988,5.74,3.93,1.81
Jesse Jefferson,1975,4.95,3.15,1.80
Ryan Rowland-Smith,2010,6.93,5.13,1.80
Jim Maloney,1962,3.81,2.01,1.80
Jorge de la Rosa,2008,5.09,3.29,1.80
Blake Stein,2000,4.68,2.88,1.80
Mike Pelfrey,2017,6.01,4.22,1.79
Ryan Yarbrough,2021,5.46,3.67,1.79
Miguel Gonzalez,2017,4.62,2.83,1.79
Bill Swift,1995,4.94,3.15,1.79
Aaron Sele,2005,5.66,3.87,1.79
Steve Avery,1998,4.77,2.98,1.79
Andy Ashby,1993,6.53,4.75,1.78
Ervin Santana,2015,4.00,2.22,1.78
Martin Perez,2023,4.98,3.21,1.77
Travis Wood,2011,5.08,3.31,1.77
Guy Bush,1926,3.09,1.33,1.76
Erick Fedde,2022,5.81,4.05,1.76
Dan Reichert,2001,5.66,3.90,1.76
Jose Silva,1998,4.40,2.64,1.76
Aaron Sele,2003,5.77,4.01,1.76
Tomo Ohka,2001,5.35,3.59,1.76
Chris Rusin,2015,5.62,3.86,1.76
Mike Campbell,1988,5.89,4.14,1.75
Jamey Wright,2002,5.33,3.58,1.75
Jose Quintana,2012,3.97,2.22,1.75
James Shields,2006,4.84,3.10,1.74
