playername,year,realERA,adjustedERA,nextERA
A.J. Burnett,2001,4.05,2.78,3.12
A.J. Burnett,2004,3.74,2.23,3.44
A.J. Burnett,2005,3.44,2.63,3.98
A.J. Burnett,2006,3.98,2.86,3.75
A.J. Burnett,2007,3.75,2.51,4.00
A.J. Burnett,2008,4.00,2.92,4.04
A.J. Burnett,2009,4.04,2.93,5.26
A.J. Burnett,2010,5.26,3.98,5.16
A.J. Burnett,2011,5.16,3.92,3.51
A.J. Burnett,2012,3.51,2.39,3.30
A.J. Burnett,2013,3.30,2.38,4.59
A.J. Burnett,2014,4.59,3.65,3.18
Aaron Cook,2006,4.23,3.47,4.12
Aaron Cook,2007,4.12,2.80,3.96
Aaron Cook,2008,3.96,3.03,4.16
Aaron Cook,2009,4.16,2.92,5.08
Aaron Harang,2004,4.86,3.65,3.83
Aaron Harang,2005,3.83,3.11,3.78
Aaron Harang,2006,3.78,2.98,3.73
Aaron Harang,2007,3.73,3.11,4.89
Aaron Harang,2008,4.89,3.56,4.21
Aaron Harang,2009,4.21,2.99,5.22
Aaron Harang,2010,5.22,3.79,3.64
Aaron Harang,2011,3.64,2.14,3.61
Aaron Harang,2012,3.61,2.78,5.40
Aaron Harang,2013,5.40,3.74,3.57
Aaron Harang,2014,3.57,2.30,4.86
Aaron Nola,2016,4.78,2.72,3.54
Aaron Nola,2017,3.54,2.24,2.37
Aaron Nola,2018,2.37,1.79,3.87
Aaron Nola,2021,4.63,3.38,3.25
Aaron Nola,2022,3.25,2.39,4.46
Aaron Sanchez,2018,4.89,3.43,5.89
Aaron Sele,1993,2.74,2.06,3.83
Aaron Sele,1996,5.32,3.77,5.38
Aaron Sele,1997,5.38,3.89,4.23
Aaron Sele,1998,4.23,3.14,4.79
Aaron Sele,1999,4.79,3.66,4.51
Aaron Sele,2000,4.51,3.45,3.63
Aaron Sele,2001,3.63,2.66,4.89
Aaron Sele,2002,4.89,3.72,5.77
Aaron Sele,2003,5.77,3.72,5.03
Aaron Sele,2004,5.03,3.41,5.66
Ad Brennan,1912,3.64,2.31,2.57
Adam Conley,2016,3.85,2.53,6.17
Adam Eaton,2000,4.13,2.59,4.32
Adam Eaton,2003,4.08,3.20,4.61
Adam Eaton,2004,4.61,3.39,4.05
Adam Eaton,2007,6.29,5.14,5.71
Adam Wainwright,2007,3.70,2.55,3.20
Adam Wainwright,2008,3.20,1.95,2.63
Adam Wainwright,2009,2.63,1.85,2.42
Adam Wainwright,2012,3.94,2.74,2.94
Adam Wainwright,2013,2.94,2.03,2.38
Adam Wainwright,2016,4.62,3.43,5.12
Adam Wainwright,2021,3.05,2.14,3.71
Adam Wainwright,2022,3.71,2.75,7.40
Addie Joss,1902,2.61,1.72,2.20
Addie Joss,1903,2.20,1.43,1.62
Adrian Houser,2021,3.33,2.08,4.83
Adrian Houser,2022,4.83,3.57,4.23
Al Benton,1941,3.12,1.73,2.97
Al Benton,1945,2.04,1.37,3.82
Al Brazle,1946,3.33,1.90,3.13
Al Brazle,1947,3.13,2.22,3.68
Al Brazle,1948,3.68,2.50,3.29
Al Demaree,1913,1.90,1.26,3.04
Al Demaree,1914,3.04,2.34,2.92
Al Demaree,1915,2.92,2.20,2.54
Al Demaree,1916,2.54,2.05,2.75
