team,year,playersaves,teamsaves,save_pct
KC1,1959,12,22,0.55
KC1,1961,12,23,0.52
BRO,1941,11,22,0.5
SLN,1951,11,23,0.48
WS1,1913,9,20,0.45
BRO,1950,9,20,0.45
TEX,1973,12,27,0.44
SLA,1948,9,21,0.43
CHA,1948,10,23,0.43
CLE,1958,9,21,0.43
DET,1957,9,21,0.43
MON,1969,9,21,0.43
HOU,1967,9,22,0.41
DET,1943,8,20,0.4
DET,1950,8,20,0.4
NY1,1923,8,20,0.4
CLE,1987,10,25,0.4
SLN,1947,8,20,0.4
PHI,1946,9,23,0.39
BRO,1946,11,28,0.39
BOS,1957,9,23,0.39
MLN,1957,9,23,0.39
HOU,1968,9,23,0.39
MLN,1962,9,24,0.38
NY1,1948,8,21,0.38
CLE,1959,9,24,0.38
CHN,1960,9,24,0.38
PHI,1969,8,21,0.38
PIT,1940,9,24,0.38
PIT,1956,9,24,0.38
SLN,1941,8,21,0.38
SLN,1936,9,24,0.38
WS1,1943,8,21,0.38
ATL,1972,10,27,0.37
ARI,2021,8,22,0.36
CHN,1970,9,25,0.36
CHA,2023,10,28,0.36
NYA,1926,8,22,0.36
MIL,1973,10,28,0.36
HOU,1975,9,25,0.36
KC1,1958,9,25,0.36
LAN,1959,9,25,0.36
TEX,1978,9,25,0.36
NYN,1966,8,22,0.36
SLN,1970,7,20,0.35
SLA,1934,7,20,0.35
SFN,1964,11,31,0.35
SFN,1958,9,26,0.35
DET,1915,7,20,0.35
DET,1924,7,20,0.35
MLN,1954,7,20,0.35
MLN,1956,9,26,0.35
CHN,1929,7,20,0.35
CHN,1955,8,23,0.35
CLE,1943,7,20,0.35
CIN,1959,9,26,0.35
BRO,1935,7,20,0.35
BRO,1948,7,21,0.33
CAL,1968,10,30,0.33
BOS,1952,8,24,0.33
ATL,1976,9,27,0.33
BAL,1955,8,24,0.33
BAL,1987,10,30,0.33
CLE,1934,7,21,0.33
CLE,1935,7,21,0.33
CLE,1956,8,24,0.33
CLE,1994,7,21,0.33
CAL,1994,7,21,0.33
CHA,1958,8,24,0.33
MON,1976,7,21,0.33
NYA,1936,7,21,0.33
NYA,1952,9,27,0.33
MIL,1978,8,24,0.33
MIN,1986,8,24,0.33
DET,1960,8,24,0.33
SEA,1985,10,30,0.33
SFN,1963,10,30,0.33
TBA,2021,14,42,0.33
PHI,1965,7,21,0.33
PHI,1929,8,24,0.33
PHA,1929,8,24,0.33
PIT,1994,8,24,0.33
PHI,1973,7,22,0.32
SLN,1962,8,25,0.32
SLN,1928,7,22,0.32
SFN,1959,8,25,0.32
WS1,1948,7,22,0.32
DET,1948,7,22,0.32
LAN,1979,11,34,0.32
KCA,2004,8,25,0.32
KCA,1975,8,25,0.32
KCA,1969,8,25,0.32
KCA,1970,8,25,0.32
MIN,1971,8,25,0.32
NYA,1928,7,22,0.32
NYA,1933,7,22,0.32
MIN,2022,9,28,0.32
NY1,1936,7,22,0.32
CHA,1954,11,34,0.32
CHA,1952,9,28,0.32
CHN,1958,8,25,0.32
CHN,1953,7,22,0.32
CLE,1940,7,22,0.32
CIN,2022,10,31,0.32
CLE,1917,7,22,0.32
CLE,1963,8,25,0.32
CLE,1969,7,22,0.32
CIN,1955,7,22,0.32
CIN,1984,8,25,0.32
BOS,1950,9,28,0.32
BOS,1960,7,22,0.32
BOS,1972,8,25,0.32
ATL,1973,11,35,0.31
CLE,1971,10,32,0.31
CHN,1974,8,26,0.31
CHA,1955,8,26,0.31
CHA,1957,8,26,0.31
KCA,1999,9,29,0.31
DET,1968,9,29,0.31
HOU,1966,8,26,0.31
SLN,1966,10,32,0.31
SLN,1974,6,20,0.3
SLN,1980,8,27,0.3
SEA,1981,7,23,0.3
PHI,1966,7,23,0.3
TOR,1980,7,23,0.3
HOU,1963,6,20,0.3
DET,1994,6,20,0.3
DET,2003,8,27,0.3
DET,1963,8,27,0.3
DET,1982,8,27,0.3
LAN,1960,6,20,0.3
NYA,1929,6,20,0.3
NY1,1956,9,30,0.3
MIN,1962,8,27,0.3
MIL,1980,9,30,0.3
MIA,2019,8,27,0.3
MIL,1970,8,27,0.3
CHN,1954,6,20,0.3
CHN,1981,6,20,0.3
CLE,1967,8,27,0.3
